Episode,Score,Average Score,Loss,Average Loss,Epsilon
1.0,0.0,0.0,0.5399405561911408,0.5399405561911408,0.995
2.0,0.0,0.0,1.6573423012159765,1.0986414287035586,0.990025
3.0,-1.0,-0.3333333333333333,1.3106460261624306,1.169309627856516,0.985074875
4.0,-2.0,-0.75,1.8160775592550635,1.3310016107061529,0.9801495006250001
5.0,-2.0,-1.0,1.8683909240062349,1.4384794733661692,0.9752487531218751
6.0,0.0,-0.8333333333333334,1.611193217424443,1.4672650973758816,0.9703725093562657
7.0,-2.0,-1.0,1.8736848137050401,1.5253250568514756,0.9655206468094844
8.0,-1.0,-1.0,1.6072513917461038,1.5355658487133041,0.960693043575437
9.0,-2.0,-1.1111111111111112,1.9131441534264013,1.577518993681426,0.9558895783575597
10.0,0.0,-1.0,2.0851953182718717,1.6282866261404707,0.9511101304657719
11.0,0.0,-0.9090909090909091,1.251249467022717,1.5940105207661295,0.946354579813443
12.0,0.0,-0.8333333333333334,1.4517404455691576,1.5821546811663818,0.9416228069143757
13.0,0.0,-0.7692307692307693,1.6041488471673802,1.5838465400895354,0.9369146928798039
14.0,0.0,-0.7142857142857143,1.2784751533181407,1.562034298177293,0.9322301194154049
15.0,2.0,-0.5333333333333333,1.3677515809540637,1.5490821170290776,0.9275689688183278
16.0,0.0,-0.5,1.5031250427709892,1.5462097998879472,0.9229311239742362
17.0,0.0,-0.47058823529411764,1.4248845493420959,1.5390730204440735,0.918316468354365
18.0,-1.0,-0.5,1.2651073891902342,1.523852707596638,0.9137248860125932
19.0,-4.0,-0.6842105263157895,1.5316319619887508,1.5242621420383282,0.9091562615825302
20.0,2.0,-0.55,1.11933982121991,1.5040160259974074,0.9046104802746175
21.0,0.0,-0.5238095238095238,1.0889478061289992,1.4842508726703403,0.9000874278732445
22.0,-1.0,-0.5454545454545454,1.2123513248807285,1.471891802316267,0.8955869907338783
23.0,0.0,-0.5217391304347826,1.161350806709379,1.4583900198985762,0.8911090557802088
24.0,-1.0,-0.5416666666666666,0.7632642306271009,1.429426445345598,0.8866535105013078
25.0,1.0,-0.48,1.1611842757556587,1.4186967585620005,0.8822202429488013
26.0,0.0,-0.46153846153846156,1.281683461391367,1.41342701636313,0.8778091417340573
27.0,-1.0,-0.48148148148148145,0.7284452117746696,1.3880573198968906,0.8734200960253871
28.0,0.0,-0.4642857142857143,0.8393976118532009,1.3684623303239019,0.8690529955452602
29.0,1.0,-0.41379310344827586,0.9930520629859529,1.3555171486915587,0.8647077305675338
30.0,-1.0,-0.43333333333333335,1.376316327485256,1.3562104546513487,0.8603841919146962
31.0,1.0,-0.3870967741935484,0.9411323676176835,1.3428208389405851,0.8560822709551227
32.0,-1.0,-0.40625,0.843423093232559,1.3272146593872094,0.851801859600347
33.0,-1.0,-0.42424242424242425,0.9011234737117775,1.3143028052758328,0.8475428503023453
34.0,0.0,-0.4117647058823529,1.0747574623674154,1.3072573540138204,0.8433051360508336
35.0,0.0,-0.4,0.9673539821524173,1.2975458291034947,0.8390886103705794
36.0,2.0,-0.3333333333333333,0.8262886212905869,1.2844553511086916,0.8348931673187264
37.0,3.0,-0.24324324324324326,1.1553471654187888,1.28096594068464,0.8307187014821328
38.0,1.0,-0.21052631578947367,0.9145857599796727,1.271324356981878,0.8265651079747222
39.0,4.0,-0.10256410256410256,0.9933789069764316,1.2641975505714818,0.8224322824348486
40.0,-2.0,-0.15,1.114809021120891,1.2604628373352171,0.8183201210226743
41.0,2.0,-0.0975609756097561,1.1070049084955826,1.2567199610220552,0.8142285204175609
42.0,-2.0,-0.14285714285714285,0.8483406536397524,1.2469966441796194,0.810157377815473
43.0,3.0,-0.06976744186046512,1.4771148056606762,1.2523482293303416,0.8061065909263957
44.0,-1.0,-0.09090909090909091,0.7797504750778899,1.2416073712791496,0.8020760579717637
45.0,1.0,-0.06666666666666667,1.1511702729039825,1.2395976579819237,0.798065677681905
46.0,0.0,-0.06521739130434782,1.4559649625443853,1.2443012950376293,0.7940753492934954
47.0,0.0,-0.06382978723404255,1.0352416218956932,1.2398532168856733,0.7901049725470279
48.0,0.0,-0.0625,1.1521573915379122,1.2380262205242616,0.7861544476842928
49.0,1.0,-0.04081632653061224,1.1881809423794039,1.2370089699498767,0.7822236754458713
50.0,0.0,-0.04,1.113705181342084,1.2345428941777208,0.778312557068642
51.0,2.0,0.0,1.155749665107578,1.2329979289018358,0.7744209942832988
52.0,3.0,0.057692307692307696,1.1088173806201667,1.2306098414348805,0.7705488893118823
53.0,1.0,0.07547169811320754,1.1141332352999598,1.2284121696210142,0.7666961448653229
54.0,2.0,0.1111111111111111,1.2193561646854505,1.228244465825911,0.7628626641409962
55.0,0.0,0.10909090909090909,0.916140899527818,1.222569855529582,0.7590483508202912
56.0,3.0,0.16071428571428573,1.3287678345805034,1.2244662480126343,0.7552531090661897
57.0,-1.0,0.14035087719298245,0.9372433040989563,1.219427248996605,0.7514768435208588
58.0,0.0,0.13793103448275862,1.1855942081310786,1.21884392070582,0.7477194593032545
